PRODUCT_ID,PRODUCT_NAME,BRAND,PRICE,DESCRIPTION,LAUNCH_DATE,IS_ORGANIC
25,スカルプケアシャンプー メンズ,ヘアブロッサム,1880,男性の頭皮ケアに特化したスカルプシャンプー。グリチルリチン酸配合で頭皮の炎症を抑え、フケ・かゆみを防ぎます。メントールのすっきり感。,2025-04-01,FALSE
26,カラーケアコンディショナー,ヘアブロッサム,1580,ヘアカラーの色持ちを良くするコンディショナー。キューティクルを整えて色素の流出を防ぎ、サロン帰りの仕上がりを長くキープします。,2025-07-15,FALSE
27,ヘアミスト フローラルブーケ,ボタニカルピュア,1480,髪にシュッとスプレーするだけでツヤと香りをプラスするヘアミスト。UVカット成分配合で紫外線ダメージからも髪を守ります。フローラルの香り。,2025-10-01,TRUE
28,頭皮エッセンス スカルプリバイブ,ヘアブロッサム,3480,育毛有効成分を配合した頭皮用エッセンス。洗髪後の清潔な頭皮にマッサージしながら塗布することで、健やかな頭皮環境を整えます。医薬部外品。,2025-02-15,FALSE
29,シアバターボディクリーム,ボディラボ,1780,シアバターとホホバオイルをたっぷり配合した濃厚ボディクリーム。お風呂上がりの全身ケアに。乾燥しやすい冬場も一日中しっとりが続きます。,2025-01-01,FALSE
30,ハンドクリーム ローズ＆ハニー,ボタニカルピュア,980,ローズエキスとハチミツ配合のハンドクリーム。手荒れしやすい方にもおすすめの高保湿タイプ。べたつかないのにしっかりうるおうテクスチャー。,2024-12-01,TRUE
31,ボディスクラブ ソルト＆シトラス,ボディラボ,2180,天然塩と柑橘系オイルを使用したボディスクラブ。古い角質を優しく除去し、すべすべのなめらかな肌に。週1〜2回の使用がおすすめ。,2025-06-01,FALSE
32,薬用デオドラントボディソープ,ピュアスキン,1280,殺菌成分イソプロピルメチルフェノール配合の薬用ボディソープ。体臭の原因菌を除去し、汗のにおいを防ぎます。泡立ちの良いクリーミーな泡。,2025-08-15,FALSE
33,リラックスバスソルト ラベンダー,ボタニカルピュア,1580,死海の塩とラベンダー精油をブレンドした入浴剤。疲れた体をじんわり温め、リラックスタイムを演出。1袋で約6回分。,2025-02-01,TRUE
34,ボディミルク うるおいヴェール,ボディラボ,1480,さらっと伸びの良いボディミルク。ベタつかずに全身をうるおすので、夏場のボディケアにも最適。ホワイトフローラルのやさしい香り。,2025-09-15,FALSE
35,フットクリーム かかとケア集中補修,ボディラボ,1180,尿素10%配合のフットクリーム。ガサガサのかかとを集中ケアし、なめらかな素足に導きます。就寝前に塗って靴下を履くと効果的。,2025-11-01,FALSE
36,リップバーム シアモイスト,ボタニカルピュア,780,シアバターとミツロウで作ったオーガニックリップバーム。乾燥した唇をしっかり保湿し、ぷるんとしたツヤ感を与えます。無香料タイプ。,2024-08-01,TRUE
37,ネイルオイル フラワーエッセンス,ボディラボ,1380,爪と甘皮に栄養を与えるネイルオイル。ペンタイプで持ち運びやすく、いつでもどこでもネイルケアが可能。アーモンドオイルとビタミンE配合。,2025-12-01,FALSE
38,オーガニックボディオイル,ボタニカルピュア,3280,ホホバオイルとアルガンオイルをベースにしたオーガニックボディオイル。マッサージオイルとしても使え、入浴後の肌になじませると翌朝までしっとり。,2024-10-15,TRUE
39,オードパルファム フルールドソワレ,パルファンドトーキョー,7980,トップにベルガモットとピンクペッパー、ミドルにローズとジャスミン、ラストにムスクとバニラが香る華やかなフローラル系香水。特別な夜のお出かけに。,2024-09-01,FALSE
40,オードトワレ シトラスブリーズ,パルファンドトーキョー,5480,レモン・グレープフルーツ・ライムのフレッシュなシトラスノートが爽やかに香るオードトワレ。性別問わず使える爽快なユニセックスフレグランス。,2024-11-15,FALSE
41,ボディミスト サクラブルーム,フレグランスガーデン,1980,桜をイメージしたやわらかなフローラルの香りのボディミスト。ほのかに香る程度なのでオフィスでも使いやすい。保湿成分配合でボディケアも兼ねます。,2025-05-15,FALSE
42,練り香水 ウッディアンバー,パルファンドトーキョー,2980,サンダルウッドとアンバーを基調とした落ち着きのある練り香水。手首や耳の後ろに少量つけるだけで、ほのかに心地よい香りが持続します。,2025-03-15,FALSE
43,ルームフレグランス ホワイトティー,フレグランスガーデン,3480,ホワイトティーとミントをブレンドした清涼感のあるルームフレグランス。リードディフューザータイプで約2ヶ月持続。インテリアにもなじむシンプルなデザイン。,2025-04-01,FALSE
44,ヘアフレグランス シルキーフローラル,フレグランスガーデン,1680,髪にふんわり香りをまとわせるヘアフレグランス。フリージアとミュゲの透明感のある香り。UVカット成分とヒートプロテクト成分も配合。,2025-08-15,FALSE
45,アロマオイルセット リラクゼーション,ボタニカルピュア,2680,ラベンダー・ユーカリ・オレンジスイートの3種セット。ディフューザーやアロマバスに使える天然100%のエッセンシャルオイル。各10ml入り。,2025-01-15,TRUE
46,パフュームハンドクリーム ムスク,パルファンドトーキョー,1480,ホワイトムスクの上品な香りが楽しめるパフュームハンドクリーム。保湿力もしっかりあり、乾燥対策と香りの両方を叶える贅沢な一品。,2025-11-15,FALSE
47,ファブリックミスト フレッシュリネン,フレグランスガーデン,1280,衣類やカーテン、ソファにシュッとスプレーするファブリックミスト。清潔感のあるリネンの香りで、部屋全体をさわやかな空間に。除菌成分配合。,2025-07-01,FALSE
48,バスボム アソートセット,フレグランスガーデン,1880,ローズ・ラベンダー・シトラス・ミントの4種が入ったバスボムセット。お湯に入れるとシュワシュワ発泡し、バスルームに豊かな香りが広がります。,2026-01-01,FALSE
49,オーガニックリップパフューム,ボタニカルピュア,1280,唇に塗ると甘いバニラの香りがほのかに漂うリップパフューム。シアバターとミツロウで唇を保湿しながら、さりげなく香りを楽しめます。,2025-10-15,TRUE
50,ピローミスト グッドナイト,フレグランスガーデン,1580,枕にスプレーするだけで心地よい眠りをサポートするピローミスト。ラベンダーとカモミールのリラックス成分配合。ノンアルコール処方。,2025-12-15,FALSE
